"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","성공 시 token을 포함한 응답을 반환한다","otpLogin API","2026-03-27","passed","2026-03-27","","","",""
"","0","whitespace만 있으면 false를 반환한다","isAuthValid","2026-03-27","passed","2026-03-27","","","",""
"","1","에러 배열이 비어있으면 기본 에러 메시지를 사용한다","api client","2026-03-27","passed","2026-03-27","","","",""
"","2","OTP 로그인 요청에 Authorization 헤더가 포함되지 않는다","otpLogin API","2026-03-27","passed","2026-03-27","","","",""
"","1","여러 번 호출해도 모두 동일하게 동작한다","requireAuth","2026-03-27","passed","2026-03-27","","","",""
"","3","accessToken이 없으면 redirect를 throw한다","requireAuth","2026-03-27","passed","2026-03-27","","","",""
"","31","본인인증 API 성공 시 성공 메시지를 표시한다","LoginPage - 본인인증","2026-03-27","passed","2026-03-27","","","",""
"","0","윤년 2월을 처리한다","formatDate","2026-03-27","passed","2026-03-27","","","",""
"","311","OTP 6자리 미만이면 제출 버튼이 disabled다","LoginPage - 로그인 폼 (신규 기기, OTP 플로우)","2026-03-27","passed","2026-03-27","","","",""
"","1","네트워크 에러를 처리한다","api client","2026-03-27","passed","2026-03-27","","","",""
"","1","KPMFP 헤더가 요청에 포함될 수 있다","otpLogin API","2026-03-27","passed","2026-03-27","","","",""
"","0","UTC 23:59 → KST 다음날 08:59","formatDate","2026-03-27","passed","2026-03-27","","","",""
"","7","사이트 로고가 렌더링된다","Header","2026-03-27","passed","2026-03-27","","","",""
"","0","whitespace만 있는 토큰도 없는 것으로 간주한다","requireAuth","2026-03-27","passed","2026-03-27","","","",""
"","0","Date 객체도 입력받을 수 있다","formatDate","2026-03-27","passed","2026-03-27","","","",""
"","237","type O 응답 시 OTP 입력 UI가 표시된다","LoginPage - 로그인 폼 (신규 기기, OTP 플로우)","2026-03-27","passed","2026-03-27","","","",""
"","2","토큰 없으면 401 에러를 던진다","changePassword API","2026-03-27","passed","2026-03-27","","","",""
"","5","KPMFP 헤더가 요청에 포함된다","login API","2026-03-27","passed","2026-03-27","","","",""
"","26","본인인증 SDK 호출 중 에러 메시지를 표시한다","LoginPage - 본인인증","2026-03-27","passed","2026-03-27","","","",""
"","4","중복 이메일로 가입하면 에러를 던진다","signup API","2026-03-27","passed","2026-03-27","","","",""
"","184","폼 입력값이 유지된다","LoginPage - 로그인 폼 (동일 기기, type T)","2026-03-27","passed","2026-03-27","","","",""
"","279","로그인 중에는 버튼이 disabled 상태다","LoginPage - 로그인 폼 (동일 기기, type T)","2026-03-27","passed","2026-03-27","","","",""
"","5","모든 네비게이션 링크가 렌더링된다","Header","2026-03-27","passed","2026-03-27","","","",""
"","0","만료된 JWT 토큰은 거부한다","requireAuth","2026-03-27","passed","2026-03-27","","","",""
"","0","빈 문자열 토큰도 없는 것으로 간주한다","requireAuth","2026-03-27","passed","2026-03-27","","","",""
"","662","이메일과 비밀번호를 입력하고 로그인할 수 있다","LoginPage - 로그인 폼 (동일 기기, type T)","2026-03-27","passed","2026-03-27","","","",""
"","2","setLoggedIn(true)는 isLoggedIn을 true로 만든다","authStore","2026-03-27","passed","2026-03-27","","","",""
"","3","POST 요청 시 본문을 JSON으로 전송한다","api client","2026-03-27","passed","2026-03-27","","","",""
"","2","서버 오류 시 에러를 던진다","login API","2026-03-27","passed","2026-03-27","","","",""
"","2","OTP 만료 시 에러를 던진다","otpLogin API","2026-03-27","passed","2026-03-27","","","",""
"","71","Logout 버튼 클릭 시 isLoggedIn이 false가 된다","Header","2026-03-27","passed","2026-03-27","","","",""
"","41","로그인 상태가 아니면 Login 링크를 보여준다","Header","2026-03-27","passed","2026-03-27","","","",""
"","0","JWT 형식이 아니면 false를 반환한다","isAuthValid","2026-03-27","passed","2026-03-27","","","",""
"","2","성공 시 statusCode 200을 반환한다","changePassword API","2026-03-27","passed","2026-03-27","","","",""
"","2","현재 비밀번호가 틀리면 에러를 던진다","changePassword API","2026-03-27","passed","2026-03-27","","","",""
"","6","잘못된 OTP 코드 시 에러를 던진다","otpLogin API","2026-03-27","passed","2026-03-27","","","",""
"","0","만료된 토큰이면 false를 반환한다","isAuthValid","2026-03-27","passed","2026-03-27","","","",""
"","3","토큰 없으면 Authorization 헤더가 없다","api client","2026-03-27","passed","2026-03-27","","","",""
"","0","연도 경계값을 처리한다 (12월 31일)","formatDate","2026-03-27","passed","2026-03-27","","","",""
"","1","HTTP 에러 응답(500)을 처리한다","api client","2026-03-27","passed","2026-03-27","","","",""
"","280","OTP 오류 시 에러 메시지를 표시한다","LoginPage - 로그인 폼 (신규 기기, OTP 플로우)","2026-03-27","passed","2026-03-27","","","",""
"","39","Authorization 헤더에 localStorage 토큰을 자동으로 포함한다","api client","2026-03-27","passed","2026-03-27","","","",""
"","3","HTTP 에러 응답(401)을 처리한다","api client","2026-03-27","passed","2026-03-27","","","",""
"","37","type T 응답 시 token을 포함한 응답을 반환한다","login API","2026-03-27","passed","2026-03-27","","","",""
"","312","OTP 6자리 입력 후 제출 시 /main으로 이동한다","LoginPage - 로그인 폼 (신규 기기, OTP 플로우)","2026-03-27","passed","2026-03-27","","","",""
"","0","logout()은 accessToken 제거와 isLoggedIn을 동시에 처리한다","authStore","2026-03-27","passed","2026-03-27","","","",""
"","2","성공 시 statusCode 200을 반환한다","signup API","2026-03-27","passed","2026-03-27","","","",""
"","4","실패 시 에러를 던진다","login API","2026-03-27","passed","2026-03-27","","","",""
"","1","statusCode가 200이 아니면 에러를 던진다","api client","2026-03-27","passed","2026-03-27","","","",""
"","1","토큰이 없을 때마다 redirect가 호출된다","requireAuth","2026-03-27","passed","2026-03-27","","","",""
